Jahr,Mietpreis,Stadt
2025,10.98,bretzfeld
2024,10.24,bretzfeld
2023,10.23,bretzfeld
2022,9.68,bretzfeld
2021,9.58,bretzfeld
2020,8.95,bretzfeld
2019,8.38,bretzfeld
2018,7.98,bretzfeld
2025,9.59,dorzbach
2024,10.76,dorzbach
2023,8.66,dorzbach
2022,8.4,dorzbach
2021,8.2,dorzbach
2020,6.92,dorzbach
2019,6.29,dorzbach
2018,Nan,dorzbach
2025,10.15,forchtenberg
2024,10.43,forchtenberg
2023,10.89,forchtenberg
2022,10.48,forchtenberg
2021,7.63,forchtenberg
2020,9.09,forchtenberg
2019,6.59,forchtenberg
2018,5.57,forchtenberg
2025,11.07,ingelfingen
2024,10.64,ingelfingen
2023,10.39,ingelfingen
2022,9.86,ingelfingen
2021,8.78,ingelfingen
2020,8.67,ingelfingen
2019,8.19,ingelfingen
2018,8.03,ingelfingen
2025,11.07,krautheim
2024,10.64,krautheim
2023,10.39,krautheim
2022,9.86,krautheim
2021,8.78,krautheim
2020,8.67,krautheim
2019,8.19,krautheim
2018,8.03,krautheim
2025,11.07,kunzelsau
2024,10.64,kunzelsau
2023,10.39,kunzelsau
2022,9.86,kunzelsau
2021,8.78,kunzelsau
2020,8.67,kunzelsau
2019,8.19,kunzelsau
2018,8.03,kunzelsau
2025,10.47,kupferzell
2024,10.68,kupferzell
2023,10.26,kupferzell
2022,9.97,kupferzell
2021,9.29,kupferzell
2020,9.13,kupferzell
2019,7.97,kupferzell
2018,8.27,kupferzell
2025,13.0,mulfingen
2024,7.96,mulfingen
2023,8.73,mulfingen
2022,8.75,mulfingen
2021,7.47,mulfingen
2020,5.91,mulfingen
2019,6.45,mulfingen
2018,5.94,mulfingen
2025,10.16,neuenstein
2024,12.62,neuenstein
2023,10.62,neuenstein
2022,9.19,neuenstein
2021,9.81,neuenstein
2020,8.81,neuenstein
2019,8.76,neuenstein
2018,8.0,neuenstein
2025,10.06,niedernhall
2024,10.6,niedernhall
2023,10.66,niedernhall
2022,9.31,niedernhall
2021,8.67,niedernhall
2020,7.84,niedernhall
2019,8.51,niedernhall
2018,7.48,niedernhall
2025,11.48,ohringen
2024,11.39,ohringen
2023,10.89,ohringen
2022,10.12,ohringen
2021,9.64,ohringen
2020,9.53,ohringen
2019,9.07,ohringen
2018,8.68,ohringen
2025,11.0,pfedelbach
2024,10.32,pfedelbach
2023,10.32,pfedelbach
2022,9.56,pfedelbach
2021,9.52,pfedelbach
2020,8.75,pfedelbach
2019,8.52,pfedelbach
2018,8.15,pfedelbach
2025,7.78,schontal
2024,9.64,schontal
2023,8.78,schontal
2022,9.8,schontal
2021,7.32,schontal
2020,7.33,schontal
2019,Nan,schontal
2018,6.52,schontal
2025,9.31,waldenburg
2024,9.86,waldenburg
2023,9.47,waldenburg
2022,10.07,waldenburg
2021,9.16,waldenburg
2020,8.63,waldenburg
2019,7.88,waldenburg
2018,7.61,waldenburg
2025,8.78,weissbach
2024,10.04,weissbach
2023,9.48,weissbach
2022,9.33,weissbach
2021,7.9,weissbach
2020,7.5,weissbach
2019,5.26,weissbach
2018,6.38,weissbach
2025,14.91,zweiflingen
2024,9.8,zweiflingen
2023,8.1,zweiflingen
2022,9.81,zweiflingen
2021,10.62,zweiflingen
2020,8.0,zweiflingen
2019,Nan,zweiflingen
2018,7.65,zweiflingen
